NOIID,FacilityId,ComplianceId,Issue / Comment,NOIDueDate,NOIResolved,StampInit,StampDate
66,9707416,2268,1.  REQUESTED UPDATE OF NOTIFICATION FORM FOR CLOSURE AND REMOVAL OF USTS 1/9/2003 REC CLOSURE REPT STATING THAT THE USTS REMOVED IN 1999.  GAVE TO GREG FOR FOLLOWUP - RK  1/14/2003 RICH IS REVIEWING THE REPT - RK ,2002-10-26,True,NOI,2002-09-26 00:00:00
67,9101873,2269,NOI 3.  Send copy of insurance.  HAR  11-281-98  1/7/2003 REC THE FR POLICY ,2003-01-13,True,NOI,2003-01-06 00:00:00
68,9101873,2269,NOI 2.  Send documentation on insurance Expiration date.  HAR 11-281-98  1/7/2003 REC THE FR POLICY ,2003-01-13,True,NOI,2003-01-06 00:00:00
69,9101873,2269,NOI 1.  Send certificate of financial responsability HAR 11-281-111-(10)  1/7/2003 REC THE FR POLICY ,2003-01-13,True,NOI,2003-01-06 00:00:00
70,9101395,2270,"NOI 1.  need to provide cert of financial responsability.  HAR 11-281-111(10) 1/21/2003 REC THE OVERFILL , CERTIFICATIN OF FR AND VERBAL SCHEDULED MAINTENANCE WITH KAL - RK ",2003-01-28,True,NOI,2003-01-14 00:00:00
71,9101395,2270,"NOI 2. Need to verify overfill in diesel tank #2.  HAR 11-281-14(a)(2) 1/21/2003 REC THE OVERFILL , CERTIFICATIN OF FR AND VERBAL SCHEDULED MAINTENANCE WITH KAL - RK ",2003-01-28,True,NOI,2003-01-14 00:00:00
72,9101395,2270,"NOI 3. Need to provide documentation for tank Gauging between January-March, 2002  ",2003-01-28,True,NOI,2003-01-14 00:00:00
73,9101395,2270,FYI - NEED ANNUAL MAINTENANCE ON OR BEFORE 4/1 FYI ,,False,NOI,2003-01-14 00:00:00
74,9101395,2270,FYI - REMEMBER TO MONITOR TANKS (ATG) EVERY 30 DAYS AND NOT ONCE A MONTH FYI ,,False,NOI,2003-01-14 00:00:00
75,9100017,2271,NOI 1.  Provide ammended notification form (Appendix 1)  Change of operator from Ali'i petroleum to ConocoPhillips as req'd by  HAR  11-281-21(2) 1/27/2003 rec appendix i - rk ,2003-01-27,True,NOI,2003-01-13 00:00:00
76,9101537,2272,"1. send ducumentation that 30 day monitoring is being done.  HAR 11-281-15(e)(1) 1/14/2003  Beverly sent interstitial printout.  She will be conducting intersitial monitorin of tank from now on.  2/7/2003 REC THE CHECK, SIGNED CITATION AND LETER HOW ADDRESSED THE VIOLATIONS - RK ",2003-02-08,True,NOI,2003-01-09 00:00:00
77,9101537,2272,5.  send third party certs for TLD-1 test and FXIV leak detector. 1/14/2003 Beverly faxed third party certs. ,2003-01-08,True,NOI,2003-01-09 00:00:00
78,9101537,2272,4.  send check list from veeder root and results for TLD-1 test. 1/14/2003  Beverly obtained and faxed check list and test results. ,2003-01-08,True,NOI,2003-01-09 00:00:00
79,9101537,2272,"3.  send cert of Service provider (Valden Boody) for Veeder root, TLD-1 Test, and red Jacket. 1/14/2003 Beverly obtain and faxed certifications. ",2003-02-08,True,NOI,2003-01-09 00:00:00
80,9101537,2272,"2. send documentation of certificate of financial responsability.  HAR 11-281-111(10) 1/14/2003 conference call with Bob, Rox, and Beverly regarding their insurance.  Beverly will send changes to mainland office.  2/12/2003 REC FR INFORMAITON - RK ",2003-02-08,True,NOI,2003-01-09 00:00:00
81,9100325,1457,1. Submit new amended Notification Forms (EPA and Appendix 1) to indicate corrected informations on all five USTs. 12/18/2001 DOH SENT LETTER REQUESTING STAUS OF noi - RK ,2001-05-25,True,NOI,2001-04-25 00:00:00
82,9100325,1457,2. Submit a copy of Veeder Root print out of a pass 0.1 GPH test of diesel UST. 12/18/2001 DOH SENT LETTER REQUESTING STAUS OF noi - RK ,2001-05-25,True,NOI,2001-04-25 00:00:00
83,9100325,1457,3. Provide a new sign for the outside overfill alarm. 12/18/2001 DOH SENT LETTER REQUESTING STAUS OF noi - RK ,2001-05-25,True,NOI,2001-04-25 00:00:00
84,9100313,1458,numerous failures that weren't address on the compliance report log  ,2001-05-25,True,NOI,2001-04-25 00:00:00
85,9100313,1458,"riser pipe situation, i need to send letter  ",2001-05-25,True,NOI,2001-04-25 00:00:00
86,9100313,1458,service record not being recorded for 2-21-2001  ,2001-05-25,True,NOI,2001-04-25 00:00:00
87,9100901,1459,"1.  Obtain proof of financial responsibility - certificate of insurance does not meet 40 CFR 281, or HAR 11-281-111 requirements - ACORD frm. not accepted 6/21/2001 SUBMITTED FR INFORMATION - RK ",2001-05-24,True,NOI,2001-04-24 00:00:00
88,9100901,1459,2.  Submit corrosion protection information for 2000. - CORRPRO documentation 6/25/2001 REC INFORMATION RE CATHODIC PROTECTION - RK ,2001-05-24,True,NOI,2001-04-24 00:00:00
89,9201116,1460,"1. Submit Appendix I, State notification form 5/10/2001 RECEOVED - RK ",2001-05-20,True,NOI,2001-04-20 00:00:00
90,9201116,1460,"fyi -- 2. Ensure that tank 1, 2, 3 are monitored at least every 30 days, 0.2 gph test pass every month FYI ",,False,NOI,2001-04-20 00:00:00
91,9707301,1461,"1. Copy of current Financial Responsibility statement as required by HAR-11-281-91 7/27/01-Discussed these 3 NOV items and NOI with Clarence Nakatsukasa again and stated he'll work on it today, just got back from vacation.-RSM                8/7/2001 REC CC MEMO.  MEMO WAS ADDRESSED TO DESIGN AND CONSTRUCTION REQUESTING ASSISTANCE IN RESOLVING QUESTIONS ON THE CITATION - RK Found 1999 policy, but can't find current one.",2001-05-27,True,NOI,2001-04-27 00:00:00
92,9200111,1462,"1. Provide a copy schematic of UST system leak detection set-up. 7/6/2001 REC LETTER ADDRESSING 2 NOI ITEMS - RK 7/27/2001-First draft, closeout letter to RK.-RSM",2001-05-27,True,NOI,2001-04-27 00:00:00
320,9101112,1631,SEND ALT. I OR ALT II LANGUAGE FOR YOUR FR  ,2001-09-28,True,NOI,2001-08-28 00:00:00
93,9200111,1462,"2. Fill pipe catchment basin need cleaned of accumulated debris. 7/6/2001 REC LETTER ADDRESSING 2 NOI ITEMS - RK 7/27/2001-First draft, closeout letter to RK.-RSM",2001-05-27,True,NOI,2001-04-27 00:00:00
94,9202509,1464,"3. Clean dirty spill buckets, USTs 1 & 2. FYI ",2001-05-27,True,NOI,2001-04-27 00:00:00
95,9202509,1464,"1. Submit State Notification Form, Appendix I 5/17/2001 REC APPENDIX I - RK ",2001-05-27,True,NOI,2001-04-27 00:00:00
96,9202509,1464,2. Submit certificate of isnureance with 40 CFR or HAR 11-281 language 5/15/2001 REC FAX OF CERT OF LIABILITY INS - RK   5/17/2000 REC FR INFORMATION - RK   2/22/2002 REC CERT OF INS - RK ,2001-05-27,True,NOI,2001-04-27 00:00:00
97,9101376,1465,COPY OF CERT OF INSURANCE  ,2001-05-14,True,NOI,2001-05-01 00:00:00
98,9101376,1465,need to check on the status of the pipes 6/21/2001 PER MEETING WITH AJ AND GO.  THIS SITE HAS CP ON THE PIPING.  CAN CLOSE THIS SITE - RK ,2001-06-01,True,NOI,2001-05-01 00:00:00
99,9100989,1468,REQUESTED APPENDIX I TO REFLECT CLOSURE - RK 5/8/2001 REC APPENDIX I - RK ,2001-05-26,True,NOI,2001-04-26 00:00:00
100,9102324,1469,REQ APPENDIX I - RK 5/8/2001  REC APPENDIX I - RK ,2001-05-26,True,NOI,2001-04-26 00:00:00
101,9102637,1470,REQ APPENDIX I FOR THE CLOSURE - RK 5/8/2001 REC APPENDIX I - RK ,2001-05-26,True,NOI,2001-04-26 00:00:00
102,9102638,1471,REQ APPENDIX I - RK 5/8/2001 REC APPENDIX I - RK ,2001-05-26,True,NOI,2001-04-26 00:00:00
103,9101993,1472,1. Submit Appendix 1 of HAR-11-281 to amend UST system information. 5/15/2001 REC APPENDIX I AND DIAGRAMS - RK Expected information submitted on EPA Notification form is different from the observed information during this inspection. 7/3/2001-Data base info on release detection amended. New Appendix-1 UST Notification form received on 5/15/01.-RSM,2001-06-11,True,NOI,2001-05-11 00:00:00
104,9201503,1473,SUBMIT LTR ADDRESSING 2150 GALLON UST CLOSURE  ,2001-06-03,False,NOI,2001-05-03 00:00:00
105,9201503,1473,SUBMIT APPENDIX I 5/17/2001 RECEIVED - RK ,2001-06-03,False,NOI,2001-05-03 00:00:00
106,9707397,1477,Closure Report with Site Assessment requested. 11/30/2000 RECEIVED CLOSURE REPT.  REPORT STATED UST USED TO FUEL BOILER AND NO RELEASE WAS DETECTED.  REPORT TO BE FILE - RK ,2000-12-31,True,NOI,2000-11-21 00:00:00
107,9707436,1478,11/28/2000 TROUBLESHOOTING SITE.  UST REMOVED.  REQUESTED COPY OF CLOSURE REPT AND NOTIFICATION FORM - RK 1/28/2002 REC CLOSURE REPT.  HEATING OIL TANK.  REPORT FILED IN FILE. ,,True,NOI,2000-11-28 00:00:00
108,9100510,1480,"1. Photos needed for UST sump, catchment basin, and fill pipe and overfill protection device. 6/22/2001 REC DRAWINGS AND PICTURES - RK Covers for catchment basin and UST sump can't be open during inspection. Mr. Hashimoto will request for maintenance work to open and repair covers for sump and spill bucket.-RSM",2001-06-22,True,NOI,2001-05-22 00:00:00
109,9200018,1481,"1. Appendix-1, Notification for Underground Storage Tanks, of Hawaii Administrative Rules needed to update of UST System and release detection information. 7/9/2001 REC APPENDIX I - RK Old EPA form doesn't identify all release detection capabilities.  7/11/2001-First draft, closeout letter.-RSM",2001-06-25,True,NOI,2001-05-23 00:00:00
110,9200020,1482,1. Appendix-1 of Hawaii Administrative Rules for notification for underground storage tanks needed for update of UST systems and release detection capabilities. 6/14/2001 REC APPENDIX I - RK Current EPA form doesn't identify entire release detection system.                                   7/10/2001-First draft close-out letter-RSM,2001-06-23,True,NOI,2001-05-23 00:00:00
111,9102014,1483,need to send designer's cert. for cps 5/24/2001 REC CERTIFICATION STATEMENT FROM CORRPRO - RK ,2001-06-02,True,NOI,2001-05-02 00:00:00
112,9202316,1485,SUBMIT STATE NOTIFICATION FORMS FOR ALL SITES PER THE NOI THIS WAS COMPLETED ,2001-06-03,True,NOI,2001-05-03 00:00:00
113,9101769,1487,OBSERVED EVIDENCE OF VERY SMALL LEAKAGE IN DISPENSER SUMP.  SUGGESTED CHECKING CONNECTIONS AND GASKETS  ,,False,NOI,2001-05-02 00:00:00
114,9101769,1487,SUBMIT STATE NOTIFICATION FORM 6/20/2001 REC NOTIFICATION FORM AND FOR OTHER SITES - RK ,2001-06-01,False,NOI,2001-05-02 00:00:00
115,9101769,1487,START FILLING OUT MONTHLY MONITORING RECORDS AT LEAST ONCE EVERY 30 DAYS  ,,False,NOI,2001-05-02 00:00:00
116,9707197,1488,SUGGEST CHECKING AUTOSTICK (ATG) FOR PROPER FUNCTIONALITY  ,,False,NOI,2001-05-02 00:00:00
117,9707197,1488,SUBMIT STATE NOTIFICATION FORMS FOR ALL HAWAII ARMY USTS FACILITIES 6/1/2001 REC APPENDIX I FORMFOR 9 ARMY SITES - RK ,2001-06-02,False,NOI,2001-05-02 00:00:00
118,9200522,1489,NEED TO VERIFY IF PIPING IS STEEL OR FRP 5/31/2001 REC PIPING PLANS - RK   6/28/2001 REC PLANS - RK   9/22/2001 REC PHOTOS - RK ,2001-06-15,True,NOI,2001-05-15 00:00:00
119,9601612,1492,"None (no NOI written), KS  ",,False,NOI,2001-05-07 00:00:00
120,9600484,1493,1. Provide:  proof of financial responsiblity (insuranc). 1/28/2004 clsoe via memo - rk ,2001-05-18,True,NOI,2001-05-08 00:00:00
121,9600484,1493,"5. Provide photo of UST 1, 2 (piping sump, was not able to inspect - no one to open cover...) 1/28/2004 clsoe via memo - rk ",2001-05-18,True,NOI,2001-05-08 00:00:00
122,9600484,1493,2. Documentation of annual maintenance for VR TLS 250i. 1/28/2004 clsoe via memo - rk ,2001-05-18,True,NOI,2001-05-08 00:00:00
123,9600484,1493,3. Automatic Line Leak Detector annual test documentation 1/28/2004 clsoe via memo - rk ,2001-05-18,True,NOI,2001-05-08 00:00:00
124,9600484,1493,"4. Missing June 200 Leak Detection Records (tank & piping ""all sensors normal"" tape) 1/28/2004 clsoe via memo - rk ",2001-05-18,True,NOI,2001-05-08 00:00:00
125,9601648,1494,None.  ,,False,NOI,2001-05-09 00:00:00
126,9707268,1495,None.  ,,False,NOI,2001-05-07 00:00:00
127,9707604,1496,3. Proof of COSTCO self-insurance financial responsibility 5/22/01 REC REQ DOCUMENTS - RK ,2001-06-07,True,NOI,2001-05-07 00:00:00
128,9707604,1496,2. Proof of ALLD test start-up 5/22/01 REC REQ DOCUMENTS - RK ,2001-06-07,True,NOI,2001-05-07 00:00:00
129,9707604,1496,1. Provide:  ALLD performance claims for Vaporless LD 2000 (x2) and RF FXIV (x1); maintain documents on-site. 5/22/01 REC REQ DOCUMENTS - RK ,2001-06-07,True,NOI,2001-05-07 00:00:00
130,9100511,1498,1. Catchment basin need to be cleaned of water. 6/22/2001 REC PHOTOS - RK ,2001-06-30,True,NOI,2001-05-30 00:00:00
131,9707664,1501,1. The UST sump found to have small amount of diesel. Diesel need to be cleaned and investigate the cause of its release or spillage. 7/2/2001 REC INFORMATION - RK Station supervisor stated that the diesel in the sump was an overfill from the tank. The fill pipe is on the sump and connected to the remote fill end.,2001-07-13,True,NOI,2001-06-13 00:00:00
132,9707664,1501,2. New Appendix 1 (UST Notification Form) is needed to clearly detail the site UST system. Present EPA form for UST Notification is incomplete. 7/2/2001 REC INFORMATION - RK Submitted Appendix 1 also includes location maps and system diagrams.-rsm,2001-07-13,True,NOI,2001-06-13 00:00:00
873,9201208,2064,fyi -- pls use mfg checklist for rj st 1401 annual mintenance fyi ,,False,NOI,2002-06-20 00:00:00
133,9200288,1503,LOCATED THE FORMER SITE OF THE 1700 USED OIL AND CROSSED REFERENCE THE PICTURES WITH THE PICTURES TAKEN DURING THE CLOSURE OF 550 GALLON USED OIL TANK BY FOPCO IN 1993.  THE REGISTERED 1700 GALL UST IS THE SAME AS THE 550 USED OIL TANK REMOVED. - RK 6/14/2001 REC APPENDIX I .  NEED TO DISCUSS WITH RENATO.  DID NOT AMEND THE TANK INFORMATION - RK   9/5/2001 AMENDED DBF - RK ,,True,NOI,2001-06-01 00:00:00
134,9101099,1505,ENSURE THAT ALL RESULTS OF RELEASE DETECTION ARE MAINTAINED  ,,True,NOI,2000-12-05 00:00:00
135,9101099,1505,"DOCUMENTATION THAT DEMOSTRATES COMPLIANCE WITH HAR SUBCHAPTER 6 RE ALARM INVESTIGATION   1/17/2001 REC TEST RESULTS FOR THE 3GPH ANNUAL TEST FOR UST 3 - RK    2/2/2001 REC SIGNED CITATION, PRINTOUTS, COPY OF THE4 ANNUAL 3GPH FOR UST3 - RK ",2001-01-05,True,NOI,2000-12-05 00:00:00
136,9101099,1505,"DOCUMENTATION THAT DEMONSTRATES COMPLIANCE WITH HAR 11-281-51(E)(2)(A)(II) ANNUAL LINE TIGHTNESS TESTING   1/17/2001 REC TEST RESULTS FOR THE 3GPH ANNUAL TEST FOR UST 3 - RK    2/2/2001 REC SIGNED CITATION, PRINTOUTS, COPY OF THE4 ANNUAL 3GPH FOR UST3 - RK ",2001-01-05,True,NOI,2000-12-05 00:00:00
137,9101099,1505,"DOCUMENTATION DEMONSTRATING THAT THE VEEDER ROOT TLS 350R IS PLLD IS CAPABLE OF CONDUCTING A 3 GPH RELEASE DETECTION TEST (TEST OF OPERABILITY OF ALLD) FOR UST 3 PIPING - RK   1/17/2001 REC TEST RESULTS FOR THE 3GPH ANNUAL TEST FOR UST 3 - RK    2/2/2001 REC SIGNED CITATION, PRINTOUTS, COPY OF THE4 ANNUAL 3GPH FOR UST3 - RK ",2001-01-05,True,NOI,2000-12-05 00:00:00
138,9707433,1506,REQUESTED CLOSURE REPT AND NOTIFICATION FORM SHOWING USTS REMOVED - RK 2/5/2002 NO EVIDENCE OF TANKS WERE FOUND BUT THERE WERE CONTAMINATION.  SEND REPORT TO HEER - RK ,2000-12-28,True,NOI,2000-11-28 00:00:00
139,9101664,1507,CLOSURE REPT 6/20/2001 UPON REVIEWAL OF THIS THIS.  ROX DID NOT FURTHER PURSUE THIS BECAUSE THERE WAS A CLOSURE REPT IN THE FILE AND AND NFA WAS GIVEN IN 3/98 - RK ,2000-12-29,True,NOI,2000-11-29 00:00:00
140,9101664,1507,AMENDED EPA AND STATE NOTIFICATION FORM 6/20/2001 UPON REVIEWAL OF THIS THIS.  ROX DID NOT FURTHER PURSUE THIS BECAUSE THERE WAS A CLOSURE REPT IN THE FILE AND AND NFA WAS GIVEN IN 3/98 - RK ,2000-12-29,True,NOI,2000-11-29 00:00:00
141,9100939,1509,SUSPECTED RELEASE 12/19/2000 INCLUDED IN DOH 12/19/2000 LTR TO PROVIDE INFORMATION WITHIN 30 DAYS OF SUSPECTED REL - RK ,2000-12-30,True,NOI,2000-11-20 00:00:00
142,9100939,1509,overfill equipment - rk 1/21/2000 received information on overfill equipment - rk ,2000-12-20,True,NOI,2000-11-20 00:00:00
143,9100049,1510,"1. Turbine riser piping needs corrosion protection verbal warning, next inspection cite ",2000-11-30,True,NOI,2000-11-20 00:00:00
144,9100049,1510,fyi - 2. Clean spill buckets FYI ,2000-11-30,True,NOI,2000-11-20 00:00:00
145,9101720,1511,2. Submit notification form (State Appendix I) 12/12/2000 RECEIVED NOTIFICATION FORM - RK ,2000-12-21,True,NOI,2000-11-21 00:00:00
146,9101720,1511,"3. Clean spill bucket (UST # 2, Plus) 12/12/2000 RECEIVED PICTURE SHOWING IT IS CLEAN - RK ",2000-12-21,True,NOI,2000-11-21 00:00:00
147,9101720,1511,"1. Submit financial responsibility attachment 3/15/2001:  ok, forthcoming to Steve, KS -showing Chevron tanks covered (e.g., apacity, intal. date, construction, etc.) under the Chevron financial assurance mechanism",2000-12-21,True,NOI,2000-11-21 00:00:00
148,9102735,1512,Financial Responsibility documents 2/7/2000 REC FR INFORMATION - RK ,2000-12-22,True,NOI,2000-11-22 00:00:00
149,9102735,1512,State and Federal Notification forms 2/7/2001 REC APPENDIX I AND EPA NOT. FORM - RK ,2000-12-22,True,NOI,2000-11-22 00:00:00
150,9102609,1513,"3. Clean spill buckets for USTs 1 & 2 (UST 1 - dirty, UST 2 - product/water standing)  ",2001-12-28,True,NOI,2000-11-28 00:00:00
151,9102609,1513,2. Submit documentation of tank construction and capacity for USTs 1 & 2 (DW steel clad vs. DW FRP)  ,2001-12-28,True,NOI,2000-11-28 00:00:00
152,9102609,1513,1. Photo of piping sump of UST 1 (gasoline)  ,2001-12-28,True,NOI,2000-11-28 00:00:00
